# half vad | tsnr hangover burstcount update_cnt hyster_cnt negSNRvar negSNRbias shift_state | ch_enrg[16] | ch_noise[16] | ch_enrg_long_db[16]
0 0 | 8155 0 0 0 1 0 0 0 | 286 1116 118 32 460 164 782 326 112 242 486 550 244 332 708 392 | 7400 7482 7382 7374 7418 7388 7450 7404 7382 7396 7420 7426 7396 7404 7442 7410 | -648 866 -1632 -3082 -119 -1266 471 -502 -1690 -833 -58 79 -824 -482 360 -297
1 0 | 8155 0 0 0 2 0 0 0 | 416 614 446 826 528 146 438 264 100 592 398 540 246 366 452 368 | 7412 7432 7416 7454 7424 7386 7414 7398 7382 7430 7410 7426 7396 7408 7416 7408 | -606 800 -1484 -2721 -104 -1279 406 -525 -1703 -734 -80 77 -823 -471 310 -304
2 0 | 8155 0 0 0 3 0 0 0 | 616 696 268 406 254 140 388 478 634 636 434 612 382 372 440 474 | 7432 7440 7398 7412 7396 7386 7410 7418 7434 7434 7414 7432 7410 7408 7416 7418 | -525 754 -1408 -2475 -172 -1295 335 -480 -1509 -636 -90 89 -773 -459 262 -282
3 0 | 8155 0 0 0 4 0 0 0 | 1026 670 506 490 270 114 310 290 556 378 292 580 350 374 414 664 | 7474 7438 7422 7420 7398 7382 7402 7400 7426 7408 7400 7430 7406 7408 7412 7438 | -395 708 -1268 -2232 -226 -1333 246 -495 -1349 -606 -143 94 -738 -448 212 -225
4 0 | 8155 0 0 0 5 328 7 0 | 1616 448 356 304 412 434 222 164 350 824 276 318 312 438 364 434 | 6886 6738 6712 6706 6698 6684 6682 6674 6716 6748 6684 6716 6694 6708 6706 6736 | 107 451 -1009 -1736 -231 -988 -106 -726 -1071 -266 -306 -93 -682 -366 35 -213
5 0 | 8155 0 0 0 6 653 22 0 | 988 608 646 300 324 316 296 250 612 502 296 196 482 422 596 410 | 6294 6124 6104 6064 6060 6044 6040 6030 6104 6122 6042 6062 6072 6078 6092 6102 | 294 373 -629 -1393 -314 -853 -257 -747 -690 -193 -397 -385 -498 -321 75 -223
6 0 | 8155 0 0 0 7 937 36 0 | 656 544 568 310 208 496 366 414 418 580 416 320 518 458 406 380 | 5728 5564 5548 5486 5472 5486 5470 5466 5532 5566 5476 5486 5514 5514 5522 5528 | 289 281 -406 -1143 -520 -608 -292 -594 -551 -93 -347 -426 -345 -262 -25 -256
7 0 | 8155 0 0 0 8 1024 40 0 | 438 300 316 324 232 432 260 338 324 534 568 488 402 276 270 764 | 5196 5036 5022 4968 4946 4978 4948 4950 5010 5060 4984 4984 5002 4988 4994 5050 | 150 19 -445 -953 -628 -482 -431 -554 -538 -51 -208 -314 -322 -389 -231 -46
8 0 | 8155 0 0 0 9 1024 40 0 | 412 244 166 538 496 306 150 200 274 526 364 544 288 332 288 620 | 4716 4556 4534 4522 4498 4510 4466 4474 4534 4604 4520 4538 4528 4520 4522 4606 | 32 -234 -687 -651 -450 -509 -711 -701 -585 -27 -259 -200 -417 -417 -354 32
9 0 | 8155 0 0 0 10 1024 40 0 | 508 234 118 404 338 244 126 226 224 640 512 428 408 532 312 490 | 4294 4122 4090 4108 4080 4082 4030 4048 4102 4206 4116 4126 4114 4118 4098 4192 | 20 -425 -970 -535 -454 -603 -965 -763 -685 55 -181 -200 -368 -279 -413 8
10 0 | 8155 0 0 0 11 1024 40 0 | 260 876 58 448 198 394 258 218 200 316 560 330 314 380 334 590 | 3890 3794 3684 3740 3688 3710 3650 3662 3710 3814 3760 3744 3732 3744 3720 3830 | -212 -118 -1405 -419 -635 -509 -904 -819 -793 -123 -97 -286 -421 -295 -432 53
11 0 | 8155 0 0 0 12 1024 40 0 | 196 594 526 610 602 470 392 158 146 456 530 514 238 358 324 512 | 3518 3472 3366 3424 3378 3384 3322 3308 3352 3476 3434 3418 3380 3402 3378 3496 | -469 -33 -975 -235 -391 -385 -722 -965 -974 -125 -57 -199 -550 -326 -455 37
12 0 | 8155 0 0 0 13 1024 40 0 | 396 434 490 654 1068 234 408 460 180 550 552 612 394 466 462 432 | 3204 3166 3076 3144 3146 3066 3028 3022 3034 3182 3144 3136 3078 3106 3086 3188 | -414 -78 -697 -83 -29 -531 -581 -711 -1030 -64 -15 -80 -472 -260 -353 -31
13 0 | 8155 0 0 0 14 1024 40 0 | 268 436 546 572 700 348 200 250 292 552 412 512 336 594 600 330 | 2908 2890 2822 2884 2900 2792 2744 2742 2758 2916 2868 2872 2802 2852 2836 2900 | -506 -108 -467 -21 84 -500 -720 -737 -908 -20 -83 -56 -471 -133 -194 -168
14 0 | 8155 0 0 0 15 1024 40 0 | 944 346 320 322 574 276 538 278 186 438 236 678 514 504 524 332 | 2710 2634 2570 2626 2664 2538 2520 2492 2500 2666 2602 2650 2570 2616 2604 2640 | -150 -206 -484 -169 97 -556 -488 -720 -973 -66 -316 54 -329 -99 -128 -262
15 0 | 8155 0 0 0 16 1024 40 0 | 584 174 218 342 396 328 522 576 262 434 446 408 532 424 430 498 | 2496 2386 2332 2396 2434 2316 2318 2298 2274 2440 2384 2424 2364 2396 2384 2422 | -61 -504 -623 -253 -18 -538 -335 -465 -905 -101 -267 -38 -218 -132 -148 -193
16 0 | 8155 0 0 0 17 1024 40 0 | 598 406 560 184 372 286 580 358 608 422 290 454 522 398 286 370 | 2304 2186 2154 2174 2226 2112 2144 2102 2106 2236 2172 2224 2178 2194 2172 2214 | 9 -430 -406 -518 -119 -571 -193 -445 -576 -135 -376 -67 -146 -176 -298 -243
17 0 | 8155 0 0 0 18 1024 40 0 | 450 364 304 342 356 210 464 312 470 360 200 498 342 406 332 482 | 2116 2002 1968 1990 2036 1920 1974 1920 1940 2048 1974 2048 1994 2014 1986 2040 | -37 -415 -458 -497 -204 -697 -168 -477 -432 -212 -577 -56 -237 -201 -353 -190
18 0 | 8155 0 0 0 19 1024 40 0 | 404 288 172 268 306 322 356 838 440 546 438 378 596 506 294 462 | 1944 1828 1786 1816 1862 1758 1810 1808 1788 1896 1818 1878 1852 1862 1814 1880 | -105 -482 -684 -564 -314 -643 -239 -170 -353 -127 -456 -140 -115 -145 -432 -167
19 0 | 8155 0 0 0 20 1024 40 0 | 306 266 128 608 396 328 464 450 492 526 368 298 340 528 442 438 | 1778 1670 1618 1694 1712 1614 1674 1670 1656 1758 1672 1718 1700 1726 1676 1732 | -245 -556 -941 -338 -306 -599 -200 -162 -260 -80 -429 -279 -217 -91 -351 -169
20 0 | 8155 0 0 0 21 1024 40 0 | 606 390 388 608 686 160 258 606 458 450 476 434 522 352 392 496 | 1660 1540 1494 1584 1608 1468 1530 1562 1534 1626 1550 1588 1580 1586 1546 1606 | -115 -480 -751 -179 -117 -807 -369 -57 -219 -99 -325 -251 -146 -189 -335 -129
21 0 | 8155 0 0 0 22 1024 40 0 | 346 316 704 402 372 332 220 528 780 328 380 488 328 460 358 402 | 1526 1414 1414 1464 1482 1352 1398 1456 1458 1494 1432 1476 1452 1472 1424 1484 | -211 -497 -420 -206 -188 -710 -540 -30 -13 -218 -327 -192 -251 -168 -354 -171
22 0 | 8155 0 0 0 23 1024 40 0 | 486 252 388 520 410 250 178 472 686 460 330 574 324 394 404 630 | 1420 1296 1310 1368 1372 1240 1274 1356 1380 1390 1320 1384 1338 1362 1320 1396 | -165 -584 -386 -139 -206 -736 -730 -48 88 -188 -375 -96 -328 -205 -327 -51
23 0 | 8155 0 0 0 24 1024 40 0 | 284 212 406 312 272 276 232 268 368 504 308 680 258 422 440 384 | 1304 1186 1218 1260 1260 1140 1168 1246 1276 1300 1216 1312 1228 1266 1230 1294 | -312 -703 -348 -263 -355 -721 -775 -250 -48 -137 -432 27 -458 -208 -280 -132
24 0 | 8155 0 0 0 25 1024 40 0 | 390 534 204 468 300 332 240 252 258 470 214 536 222 494 312 390 | 1210 1118 1116 1178 1162 1056 1074 1144 1172 1214 1114 1232 1126 1186 1136 1202 | -309 -478 -550 -214 -427 -649 -795 -411 -262 -124 -593 34 -599 -158 -361 -183
25 0 | 8155 0 0 0 26 1024 40 0 | 536 464 850 378 328 336 390 280 202 278 296 606 310 536 392 364 | 1140 1052 1088 1096 1076 982 1004 1056 1074 1118 1030 1168 1042 1118 1060 1116 | -201 -367 -216 -251 -447 -595 -647 -489 -494 -290 -598 80 -587 -95 -342 -242
26 0 | 8155 0 0 0 27 1024 40 0 | 376 360 550 902 238 238 308 234 316 266 436 394 484 454 248 346 | 1060 982 1032 1076 990 904 932 972 996 1032 968 1088 984 1050 976 1038 | -244 -374 -128 13 -568 -672 -622 -604 -507 -421 -472 -31 -430 -107 -481 -300
27 0 | 8155 0 0 0 28 1024 40 0 | 364 194 298 574 888 368 220 346 384 636 454 354 460 314 320 256 | 988 900 956 1024 978 848 860 908 934 990 914 1012 930 974 910 958 | -284 -585 -270 47 -214 -581 -717 -554 -451 -222 -371 -145 -337 -238 -494 -441
28 0 | 8155 0 0 0 29 1024 40 0 | 414 184 522 626 644 776 232 234 426 622 450 560 268 616 536 226 | 928 826 912 982 944 838 794 838 882 952 866 966 862 936 870 884 | -270 -751 -183 100 -73 -268 -766 -649 -377 -91 -303 -72 -452 -105 -331 -581
29 0 | 8155 0 0 0 30 1024 40 0 | 454 204 326 406 586 494 308 352 260 396 780 652 270 570 494 204 | 878 762 852 922 906 802 744 788 818 894 856 932 800 898 830 814 | -229 -833 -279 -7 -6 -200 -706 -579 -490 -149 -72 30 -530 -38 -244 -714
30 0 | 8155 0 0 0 31 1024 40 0 | 292 318 706 400 312 272 296 374 482 328 446 854 278 378 352 220 | 818 714 836 868 844 746 696 744 784 836 814 922 744 844 780 754 | -347 -742 -88 -87 -169 -351 -677 -510 -363 -253 -96 192 -575 -128 -296 -781
31 0 | 8155 0 0 0 32 1024 40 0 | 164 206 482 326 402 500 544 242 342 416 336 564 220 320 370 170 | 752 662 800 812 798 720 680 692 738 792 764 884 690 790 736 694 | -623 -823 -82 -211 -199 -254 -454 -607 -389 -246 -208 167 -684 -246 -315 -914
32 0 | 8155 0 0 0 33 1024 40 0 | 168 124 580 398 658 398 532 594 342 356 502 390 292 462 280 516 | 692 606 776 768 782 684 662 680 698 746 736 832 648 756 690 674 | -808 -1049 -16 -232 -56 -262 -305 -375 -407 -293 -152 26 -666 -206 -422 -637
33 0 | 8155 0 0 0 34 1021 40 0 | 412 530 576 730 616 678 482 320 318 316 386 490 224 478 466 566 | 662 596 754 762 762 680 642 642 658 700 700 796 604 726 666 662 | -638 -723 28 -44 22 -90 -234 -419 -444 -366 -201 4 -742 -167 -327 -413
34 0 | 8155 0 0 0 35 1024 40 0 | 310 302 418 428 392 830 504 350 276 258 368 546 184 312 618 474 | 624 566 718 726 722 692 626 610 618 652 664 770 560 682 658 640 | -614 -682 -48 -90 -74 98 -169 -420 -517 -485 -251 24 -861 -282 -166 -315
35 0 | 8155 0 0 0 36 1024 40 0 | 452 606 382 372 292 474 404 266 312 234 346 448 178 336 570 496 | 604 568 684 688 676 668 602 574 586 608 630 736 518 644 648 622 | -472 -421 -131 -169 -239 43 -197 -512 -527 -601 -306 -28 -955 -338 -81 -231
36 0 | 8155 0 0 0 37 1021 40 0 | 536 926 308 856 380 340 402 170 586 206 194 348 424 260 516 496 | 594 602 644 702 646 634 580 532 584 566 584 696 508 604 632 606 | -315 -97 -261 53 -267 -106 -219 -726 -324 -724 -538 -148 -732 -463 -54 -172
37 0 | 8155 0 0 0 38 1014 39 0 | 466 538 540 456 360 616 586 292 552 484 416 362 332 476 394 510 | 580 592 632 674 616 630 578 506 578 556 564 662 488 588 606 594 | -252 -51 -165 -2 -304 -13 -108 -695 -202 -526 -446 -219 -657 -348 -125 -122
38 0 | 8155 0 0 0 39 1008 39 0 | 418 592 374 358 432 376 874 222 474 262 260 296 398 396 436 732 | 560 590 604 640 596 602 606 476 566 526 532 622 476 566 586 606 | -244 13 -220 -121 -270 -112 103 -765 -167 -592 -538 -336 -544 -329 -141 34
39 0 | 8155 0 0 0 40 1001 39 0 | 520 506 592 280 264 284 824 276 372 428 306 480 492 460 450 480 | 554 580 600 602 562 568 626 454 544 514 508 606 476 554 570 592 | -166 5 -106 -286 -410 -275 231 -742 -223 -474 -548 -257 -394 -266 -142 2
40 1 | 8791 0 1 0 41 1001 39 1 | 1051828 38459728 7573894 703914 457028 591488 1916946 55033554 1866444 483306 279558 142898 414068 10350682 307558 165034 | 554 580 600 602 562 568 626 454 544 514 508 606 476 554 570 592 | 1084 1638 1357 931 772 922 1508 1006 1096 720 593 780 775 1248 969 1029
41 1 | 9403 0 2 0 42 1001 39 1 | 914732 52277206 13004354 1963738 1025316 953122 3580720 77485642 2442288 744260 292242 263790 937576 14775500 203558 85666 | 554 580 600 602 562 568 626 454 544 514 508 606 476 554 570 592 | 2193 3142 2734 2141 1925 2052 2727 2617 2313 1843 1625 1782 1918 2650 1923 1881
42 1 | 9973 0 3 0 43 1001 39 1 | 2104088 66153534 12798330 1407046 1162642 1445116 3916176 92790760 2753094 688286 432782 301018 1203168 17193846 161622 54736 | 554 580 600 602 562 568 626 454 544 514 508 606 476 554 570 592 | 3284 4522 3972 3193 2977 3116 3834 4087 3422 2845 2597 2698 2975 3929 2756 2598
