# frame vad | vadreg pitch tone complex_high complex_low stat burst hang | bckr_est[9]
0 0 | 0 0 24576 0 0 20 0 0 | 152 152 152 152 152 152 152 152 152
1 0 | 0 0 28672 0 0 20 0 0 | 143 142 141 141 141 141 142 142 141
2 0 | 0 0 30720 0 0 20 0 0 | 135 133 131 131 132 132 133 133 131
3 0 | 0 0 32256 0 0 20 0 0 | 128 125 122 121 124 124 124 124 123
4 0 | 0 0 32512 0 0 20 0 0 | 120 116 113 112 116 116 116 115 115
5 0 | 0 0 32640 0 0 20 0 0 | 113 108 105 104 108 108 109 107 107
6 0 | 0 0 32736 0 0 20 0 0 | 107 101 97 96 101 101 102 100 100
7 0 | 0 0 32752 0 0 20 0 0 | 103 94 91 89 95 95 95 93 93
8 0 | 0 0 32760 0 0 20 0 0 | 97 87 84 83 88 89 89 87 87
9 0 | 0 0 32766 0 0 20 0 0 | 91 80 78 77 82 83 83 82 81
10 0 | 0 0 32767 0 0 20 0 0 | 86 74 72 71 77 77 78 76 75
11 0 | 0 0 32767 0 0 20 0 0 | 82 69 67 65 72 72 73 71 70
12 0 | 0 0 32767 0 0 20 0 0 | 77 64 62 59 68 67 68 67 65
13 0 | 0 0 32767 0 0 20 0 0 | 74 59 57 55 63 63 64 62 60
14 0 | 0 0 32767 0 0 20 0 0 | 71 55 53 51 59 60 60 58 56
15 0 | 0 0 32767 0 0 20 0 0 | 67 51 49 47 55 57 56 54 51
16 0 | 0 0 32767 0 0 20 0 0 | 63 47 45 43 52 53 53 49 47
17 0 | 0 0 32767 0 0 20 0 0 | 60 44 42 40 48 50 49 45 44
18 0 | 0 0 32767 0 0 20 0 0 | 57 41 40 40 45 47 45 42 41
19 0 | 0 0 32767 0 0 20 0 0 | 54 40 40 40 42 44 42 40 40
20 1 | 16384 0 32767 0 0 20 1 0 | 52 40 40 40 40 41 40 40 40
21 1 | 24576 0 32767 0 0 20 2 0 | 52 40 40 40 40 41 40 40 40
22 1 | 28672 0 32767 0 0 20 3 0 | 52 40 40 40 40 41 40 40 40
23 1 | 30720 0 32767 0 0 20 4 0 | 52 40 40 40 40 41 40 40 40
24 1 | 31744 0 32767 0 0 20 5 4 | 52 40 40 40 40 41 40 40 40
25 1 | 32256 0 16383 0 16384 19 6 4 | 52 40 40 40 40 41 40 40 40
26 1 | 32512 16384 8191 0 24576 20 7 4 | 52 40 40 40 40 41 40 40 40
27 1 | 32640 24576 26623 0 28672 20 8 4 | 52 40 40 40 40 41 40 40 40
28 1 | 32704 28672 29695 0 30720 20 9 4 | 52 40 40 40 40 41 40 40 40
29 1 | 32736 14336 31231 0 31744 20 10 4 | 52 40 40 40 40 41 40 40 40
30 1 | 32752 23552 32383 16384 32256 20 11 4 | 52 40 40 40 40 40 40 40 40
31 1 | 32760 28160 32575 24576 32512 20 12 4 | 52 40 40 40 40 40 40 40 40
32 1 | 32764 14080 32671 28672 32640 20 13 4 | 52 40 40 40 40 40 40 40 40
33 1 | 32766 7040 32743 14336 32704 20 14 4 | 52 40 40 40 40 40 40 40 40
34 1 | 32767 3520 32755 7168 32736 20 15 4 | 52 40 40 40 40 40 40 40 40
35 1 | 32767 1760 32761 3584 16368 20 16 4 | 52 40 40 40 40 40 40 40 40
36 1 | 32767 880 32766 1792 8184 20 17 4 | 52 40 40 40 40 40 40 40 40
37 1 | 32767 440 32767 896 4092 20 18 4 | 52 40 40 40 40 40 40 40 40
38 1 | 32767 16604 32767 448 2046 20 19 4 | 52 40 40 40 40 40 40 40 40
39 1 | 32767 24686 32767 224 1023 20 20 4 | 52 40 40 40 40 40 40 40 40
40 1 | 32767 28727 32767 112 511 20 21 4 | 52 40 40 40 40 40 40 40 40
41 1 | 32767 30747 32767 56 255 20 22 4 | 52 40 40 40 40 40 40 40 40
42 1 | 32767 31757 32767 28 127 20 23 4 | 52 40 40 40 40 40 40 40 40
43 1 | 32767 32262 32767 14 63 20 24 4 | 52 40 40 40 40 40 40 40 40
44 1 | 32767 16131 32767 7 31 20 25 4 | 52 40 40 40 40 40 40 40 40
45 1 | 32767 8065 32767 3 15 20 26 4 | 52 40 40 40 40 40 40 40 40
46 1 | 32767 4032 32767 1 7 20 27 4 | 52 40 40 40 40 40 40 40 40
47 1 | 32767 2016 32767 0 3 20 28 4 | 52 40 40 40 40 40 40 40 40
48 1 | 32767 1008 32767 0 1 20 29 4 | 52 40 40 40 40 40 40 40 40
49 1 | 32767 504 16383 0 0 19 30 4 | 52 40 40 40 40 40 40 40 40
50 1 | 32767 16636 8191 0 0 18 31 4 | 52 40 40 40 40 40 40 40 40
51 1 | 16383 8318 10239 0 0 20 0 3 | 52 40 40 40 40 40 40 40 40
52 0 | 8191 4159 21503 0 0 20 0 0 | 52 40 40 40 40 40 40 40 40
53 0 | 4095 2079 27135 0 0 20 0 0 | 49 40 40 40 40 40 40 40 40
54 0 | 2047 1039 31359 0 0 20 0 0 | 47 40 40 40 42 40 40 40 40
55 0 | 1023 519 32063 0 0 20 0 0 | 49 40 40 40 40 40 40 40 40
56 0 | 511 259 32415 0 0 20 0 0 | 46 40 40 40 40 40 40 40 40
57 0 | 255 129 32679 0 0 20 0 0 | 48 40 40 40 40 40 40 40 40
58 0 | 127 64 32723 0 0 20 0 0 | 51 40 40 40 40 40 40 40 40
