# frame ft | state | isf[0..4] | exc2[0..4]
0 0 | 0 | - | -
1 0 | 0 | - | -
2 0 | 0 | - | -
3 0 | 0 | - | -
4 0 | 0 | - | -
5 0 | 0 | - | -
6 0 | 0 | - | -
7 0 | 0 | - | -
8 0 | 0 | - | -
9 0 | 0 | - | -
10 0 | 0 | - | -
11 0 | 0 | - | -
12 4 | 1 | 556 1456 2356 3256 4156 | 19 142 -66 -57 131
13 7 | 1 | 556 1456 2356 3256 4156 | -162 68 36 3 26
14 7 | 1 | 556 1456 2356 3256 4156 | 56 -8 146 66 -84
15 5 | 1 | 558 1458 2358 3258 4158 | -128 -84 -153 124 -188
16 7 | 1 | 554 1278 2382 3172 4036 | 51 -94 -29 108 60
17 7 | 1 | 552 1098 2406 3090 3916 | -35 59 20 -57 -2
18 7 | 1 | 550 920 2434 3004 3796 | 27 19 36 -21 -26
19 7 | 1 | 552 920 2434 3006 3796 | -14 2 -31 -8 40
20 7 | 1 | 552 920 2434 3006 3796 | 36 -16 -7 6 16
21 7 | 1 | 552 920 2434 3006 3796 | -6 -33 16 20 -9
22 7 | 1 | 552 920 2434 3006 3796 | 43 41 41 34 -33
23 5 | 1 | 552 920 2434 3006 3796 | 1 22 -26 -42 32
24 7 | 1 | 550 918 2434 3004 3796 | -41 6 -3 -30 9
25 7 | 1 | 552 920 2434 3004 3794 | 9 -11 20 -15 -15
26 7 | 1 | 550 918 2432 3004 3794 | -31 -28 43 -2 -39
27 7 | 1 | 552 920 2432 3004 3796 | 17 45 -23 12 27
28 6 | 1 | 550 918 2432 3004 3794 | -24 27 1 26 2
29 7 | 1 | 552 920 2434 3004 3794 | 25 10 25 40 -23
30 7 | 1 | 550 918 2434 3004 3796 | -17 -8 -42 -37 44
31 7 | 1 | 552 920 2434 3006 3796 | 32 -25 -18 -23 19
32 7 | 1 | 552 920 2434 3006 3796 | -9 -44 6 -10 -6
33 7 | 1 | 552 920 2434 3006 3796 | 42 32 30 5 -31
34 7 | 1 | 552 920 2434 3006 3796 | -1 14 -39 19 38
35 7 | 1 | 552 920 2434 3006 3796 | -42 -4 -14 32 12
36 7 | 1 | 552 920 2434 3006 3796 | 7 -23 10 -48 -13
37 7 | 1 | 552 920 2434 3006 3796 | -35 -39 34 -31 -37
38 7 | 1 | 552 920 2434 3006 3796 | 14 34 -33 -17 29
39 7 | 1 | 552 920 2434 3006 3796 | -27 18 -10 -3 5
40 7 | 1 | 552 920 2434 3006 3796 | 23 0 14 11 -20
41 7 | 1 | 552 920 2434 3006 3796 | -20 -18 39 25 -45
42 7 | 1 | 552 920 2434 3006 3796 | 30 -34 -29 37 22
43 7 | 1 | 552 920 2434 3006 3796 | -11 38 -5 -38 -2
44 7 | 1 | 552 920 2434 3006 3796 | 38 21 18 -25 -27
45 7 | 1 | 552 920 2434 3006 3796 | -3 4 41 -11 38
46 7 | 1 | 552 920 2434 3006 3796 | -45 -13 -25 3 15
47 7 | 1 | 552 920 2434 3006 3796 | 4 -31 -1 17 -9
48 7 | 1 | 552 920 2434 3006 3796 | -36 41 22 30 -33
49 7 | 1 | 552 920 2434 3006 3796 | 12 25 -45 45 33
50 7 | 1 | 552 920 2434 3006 3796 | -31 8 -22 -34 8
51 7 | 1 | 552 920 2434 3006 3796 | 20 -10 3 -19 -17
52 7 | 1 | 552 920 2434 3006 3796 | -22 -27 27 -5 -41
53 7 | 1 | 552 920 2434 3006 3796 | 27 -44 -40 9 25
54 7 | 1 | 552 920 2434 3006 3796 | -14 29 -16 22 1
55 7 | 1 | 552 920 2434 3006 3796 | 37 12 8 38 -25
56 7 | 1 | 552 920 2434 3006 3796 | -6 -6 32 -41 44
57 7 | 1 | 552 920 2434 3006 3796 | 45 -24 -37 -28 19
58 7 | 1 | 552 920 2434 3006 3796 | 2 -40 -12 -13 -6
59 7 | 1 | 552 920 2434 3006 3796 | -40 33 12 1 -31
60 7 | 1 | 552 920 2434 3006 3796 | 10 16 36 15 37
61 7 | 1 | 552 920 2434 3006 3796 | -32 -2 -32 28 11
62 7 | 1 | 552 920 2434 3006 3796 | 18 -20 -8 44 -14
63 7 | 1 | 552 920 2434 3006 3796 | -23 -36 15 -34 -37
64 7 | 1 | 552 920 2434 3006 3796 | 24 36 38 -20 28
65 7 | 1 | 552 920 2434 3006 3796 | -16 19 -27 -7 4
66 7 | 1 | 552 920 2434 3006 3796 | 33 2 -4 7 -20
67 7 | 1 | 552 920 2434 3006 3796 | -9 -16 21 21 -46
68 7 | 1 | 552 920 2434 3006 3796 | 40 -32 42 34 21
69 7 | 1 | 552 920 2434 3006 3796 | -1 42 -24 -44 -3
70 7 | 1 | 552 920 2434 3006 3796 | -42 23 0 -29 -27
71 7 | 1 | 552 920 2434 3006 3796 | 8 6 26 -16 42
72 7 | 1 | 552 920 2434 3006 3796 | -36 -12 -45 -1 15
73 7 | 1 | 552 920 2434 3006 3796 | 15 -28 -19 13 -10
74 7 | 2 | 552 920 2434 3006 3796 | -27 46 5 28 -35
75 7 | 2 | 550 920 2434 3004 3796 | 23 27 28 40 32
76 7 | 2 | 550 920 2434 3004 3794 | -18 9 -36 -34 7
77 7 | 2 | 550 920 2434 3004 3794 | 27 -7 -13 -20 -15
78 7 | 2 | 550 920 2434 3004 3794 | -9 -21 8 -7 -35
79 7 | 2 | 550 920 2434 3004 3794 | 31 -34 26 4 20
80 7 | 2 | 550 920 2434 3004 3794 | -3 25 -28 15 0
81 7 | 2 | 550 920 2434 3004 3794 | -33 10 -8 24 -18
82 7 | 2 | 550 920 2434 3004 3794 | 3 -3 9 -31 29
83 7 | 2 | 550 920 2434 3004 3794 | -26 -15 26 -22 12
84 5 | 1 | 552 920 2434 3006 3796 | 8 -26 -21 -11 -5
85 7 | 1 | 552 920 2432 3004 3796 | -25 30 -5 -2 -27
86 7 | 1 | 552 920 2434 3006 3796 | 21 18 18 12 36
87 7 | 1 | 552 920 2434 3006 3796 | -22 0 42 26 11
88 0 | 0 | - | -
