# frame | isf_idx[5] | log_en_index | CN_dith | exc2[0..8]
0 | 56 61 60 30 27 | 8 | 1 | 0 1 -1 -1 1 1 1 1
1 | 56 61 60 30 27 | 11 | 1 | -4 1 0 0 0 -4 1 2
2 | 51 57 49 21 7 | 14 | 1 | 1 -1 4 1 -3 -3 2 5
3 | 31 49 37 17 3 | 17 | 1 | -6 -4 -7 5 -8 0 2 -8
4 | 27 42 30 11 3 | 20 | 1 | 5 -10 -3 10 6 6 2 -9
5 | 11 17 16 5 1 | 23 | 1 | -9 14 4 -14 -1 -17 2 -10
6 | 11 17 16 5 1 | 26 | 1 | 16 11 21 -13 -16 -13 0 -10
7 | 11 17 16 5 1 | 29 | 0 | -12 1 -27 -7 35 1 -4 -7
8 | 11 17 16 5 1 | 29 | 0 | 31 -14 -7 5 14 21 -8 0
9 | 11 17 16 5 1 | 29 | 0 | -6 -29 14 17 -8 -39 -12 7
10 | 11 17 16 5 1 | 29 | 0 | 38 36 35 30 -29 -20 -16 15
11 | 11 17 16 5 1 | 29 | 0 | 1 20 -23 -37 28 0 -20 21
12 | 11 17 16 5 1 | 29 | 0 | -36 5 -3 -27 8 20 -25 30
13 | 11 17 16 5 1 | 29 | 0 | 8 -10 18 -13 -13 38 -27 35
14 | 11 17 16 5 1 | 29 | 0 | -28 -25 38 -1 -34 -20 -31 -36
15 | 11 17 16 5 1 | 29 | 0 | 15 39 -20 11 23 -1 -37 -30
16 | 11 17 16 5 1 | 27 | 1 | -16 18 1 17 1 14 -31 -17
17 | 11 17 16 5 1 | 25 | 1 | 13 5 13 20 -12 22 21 -9
18 | 11 17 16 5 1 | 24 | 1 | -8 -4 -19 -17 20 -12 16 -4
19 | 15 17 16 5 1 | 23 | 1 | 12 -10 -7 -9 7 -1 12 -1
20 | 15 25 16 6 1 | 22 | 1 | -3 -15 2 -4 -2 7 9 2
21 | 35 40 19 6 1 | 21 | 1 | 12 9 9 1 -10 13 7 5
22 | 32 40 19 6 1 | 21 | 1 | -1 4 -12 5 11 -9 5 7
23 | 32 40 24 6 1 | 22 | 1 | -15 -2 -5 11 4 -2 4 11
24 | 32 40 24 6 1 | 21 | 1 | 2 -7 3 -15 -4 6 2 13
25 | 36 40 29 6 1 | 20 | 1 | -10 -11 9 -9 -10 11 1 -12
26 | 35 45 24 6 1 | 19 | 1 | 3 8 -8 -4 6 -7 -1 -8
27 | 19 45 30 6 1 | 18 | 1 | -6 3 -2 -1 1 -2 -2 -6
28 | 23 45 30 6 1 | 16 | 1 | 3 0 2 1 -4 2 -2 -3
29 | 25 43 30 6 1 | 15 | 1 | -3 -3 5 3 -7 5 -3 -2
30 | 23 45 30 6 1 | 14 | 1 | 3 -5 -4 4 2 -4 -3 -1
31 | 23 45 31 6 1 | 13 | 1 | -2 4 -1 -4 -1 -1 -3 0
32 | 23 42 31 6 1 | 14 | 1 | 4 2 2 -3 -4 1 -4 1
33 | 23 42 31 6 1 | 17 | 1 | -1 0 7 -2 6 6 -6 4
34 | 23 42 38 9 1 | 19 | 1 | -11 -4 -6 0 3 -8 -9 7
35 | 32 42 30 9 1 | 22 | 1 | 1 -11 -1 6 -4 -3 -15 13
36 | 35 49 29 9 3 | 21 | 1 | -11 12 6 9 -10 4 13 -13
37 | 35 49 29 9 3 | 20 | 1 | 3 6 -12 12 8 9 10 -10
38 | 35 49 29 6 3 | 18 | 1 | -7 1 -5 -7 1 -7 7 -6
39 | 23 49 35 12 3 | 17 | 1 | 3 -2 0 -4 -3 -2 5 -4
