Disclaimer: this command is for informational purposes only.
	It does not indicate anything about your configuration.
      ID TYPE  NAME         FORMAT           DESCRIPTION
------------------------------------------------------------------------------------------------
      32 image png          png              (PNG Image)
       8 audio g726         g726             (G.726 RFC3551)
       6 audio alaw         alaw             (G.711 a-law)
       4 audio g723         g723             (G.723.1)
      22 audio speex        speex            (SpeeX)
      23 audio speex        speex16          (SpeeX 16khz)
      24 audio speex        speex32          (SpeeX 32khz)
      26 audio g722         g722             (G722)
      27 audio siren7       siren7           (ITU G.722.1 (Siren7, licensed from Polycom))
      33 video h261         h261             (H.261 video)
      34 video h263         h263             (H.263 video)
      10 audio adpcm        adpcm            (Dialogic ADPCM)
      37 video h265         h265             (H.265 video)
      45 audio silk         silk8            (SILK Codec (8 KHz))
      46 audio silk         silk12           (SILK Codec (12 KHz))
      47 audio silk         silk16           (SILK Codec (16 KHz))
      48 audio silk         silk24           (SILK Codec (24 KHz))
      29 audio g719         g719             (ITU G.719)
      35 video h263p        h263p            (H.263+ video)
      36 video h264         h264             (H.264 video)
      21 audio g729         g729             (G.729A)
      11 audio slin         slin             (16 bit Signed Linear PCM)
      12 audio slin         slin12           (16 bit Signed Linear PCM (12kHz))
      13 audio slin         slin16           (16 bit Signed Linear PCM (16kHz))
      14 audio slin         slin24           (16 bit Signed Linear PCM (24kHz))
      15 audio slin         slin32           (16 bit Signed Linear PCM (32kHz))
      16 audio slin         slin44           (16 bit Signed Linear PCM (44kHz))
      17 audio slin         slin48           (16 bit Signed Linear PCM (48kHz))
      18 audio slin         slin96           (16 bit Signed Linear PCM (96kHz))
      19 audio slin         slin192          (16 bit Signed Linear PCM (192kHz))
       5 audio ulaw         ulaw             (G.711 u-law)
      20 audio lpc10        lpc10            (LPC10)
      44 audio none         none             (<Null> codec)
      43 image t38          t38              (T.38 UDPTL Fax)
      40 video vp9          vp9              (VP9 video)
      39 video vp8          vp8              (VP8 video)
       7 audio gsm          gsm              (GSM)
      38 video mpeg4        mpeg4            (MPEG4 video)
      25 audio ilbc         ilbc             (iLBC)
      41 text  red          red              (T.140 Realtime Text with redundancy)
      42 text  t140         t140             (Passthrough T.140 Realtime Text)
      30 audio opus         opus             (Opus Codec)
      31 image jpeg         jpeg             (JPEG image)
       9 audio g726aal2     g726aal2         (G.726 AAL2)
       3 audio codec2       codec2           (Codec 2)
      28 audio siren14      siren14          (ITU G.722.1 Annex C, (Siren14, licensed from Polycom))
